id,name,type,sex,country,year,success,duration
a,Belgica-Expedition,2,0,be,1897,1,26
adrger,Adrien de Gerlache de Gomery,1,1,be,0,0,0
geolec,Georges Lecointe,1,1,be,0,0,0
roaamu,Roald Amundsen,1,1,no,0,0,0
henarc,Henryk Arctowski,1,1,pl,0,0,0
emidan,Émile Danco,1,1,be,0,0,0
emirac,Emil Racoviță,1,1,ro,0,0,0
frecoo,Frederick A. Cook,1,1,us,0,0,0
antdob,Antoni Bolesław Dobrowolski,1,1,pl,0,0,0
julmel,Jules Melaerts,1,1,be,0,0,0
hensom,Henri Somers,1,1,be,0,0,0
maxrys,Max van Rysselberghe,1,1,be,0,0,0
loumic,Louis Michotte,1,1,be,0,0,0
adatol,Adam Tollefsen,1,1,no,0,0,0
ludjoh,Ludvig-Hjalmar Johansen,1,1,no,0,0,0
engknu,Engebret Knudsen,1,1,no,0,0,0
gusduf,Gustave-Gaston Dufour,1,1,be,0,0,0
jeamir,Jean Van Mirlo,1,1,be,0,0,0
carwie,Carl-August Wiencke ,1,1,no,0,0,0
johkor,Johan Koren,1,1,no,0,0,0
beroy,Belgisches Königshaus,3,0,be,0,0,0
b,Southern-Cross-Expedition,2,0,no,1898,1,18
carbor,Carsten Borchgrevink,1,1,no,0,0,0
louber,Louis Bernacchi,1,1,au,0,0,0
wilcol,William Colbeck,1,1,gb,0,0,0
nichan,Nicolai Hanson,1,1,no,0,0,0
herklo,Herluf Kløvstad,1,1,no,0,0,0
hugeva,Hugh Evans,1,1,gb,0,0,0
antfou,Anton Fougner,1,1,no,0,0,0
kolell,Kolbein Ellefsen,1,1,no,0,0,0
olemus,Ole Must,1,1,no,0,0,0
persav,Per Savio,1,1,no,0,0,0
berjen,Bernhard Jensen,1,1,no,0,0,0
jorpet,Jørgen Petersen,1,1,no,0,0,0
hanhan,Hans Hansen,1,1,no,0,0,0
chrols,Christian Olsen,1,1,no,0,0,0
juljoh,Julius Johannesen,1,1,no,0,0,0
hanuli,Hans Ulis,1,1,no,0,0,0
larand,Lars Andersen,1,1,se,0,0,0
klekle,Klemet Klemetsen,1,1,no,0,0,0
johjah,Johannes Jahnsen,1,1,no,0,0,0
framag,Franz Magnussen,1,1,no,0,0,0
oscbja,Oscar M. Bjarko,1,1,no,0,0,0
ingsam,Ingvard Samuelsen,1,1,no,0,0,0
hanjoh,Hans J. Johnson,1,1,no,0,0,0
johand,Johan A. Andersen,1,1,no,0,0,0
ololar,Olof Larsen,1,1,no,0,0,0
larlar,Lars A. Larsen,1,1,no,0,0,0
adokar,Adolf M. Karlsen,1,1,no,0,0,0
axejoh,Axel Johansen,1,1,no,0,0,0
carbee,Carl H. J. Been,1,1,no,0,0,0
karbry,Karl Brynhildsen,1,1,no,0,0,0
geonew,Sir George Newnes ,3,1,gb,0,0,0
c,Discovery-Expedition,2,0,gb,1901,1,32
robsco,Robert Falcon Scott,1,1,gb,0,0,0
albarm,Albert Armitage,1,1,gb,0,0,0
charoy,Charles Royds,1,1,gb,0,0,0
micbar,Michael Barne,1,1,gb,0,0,0
ernsha,Ernest Shackleton,1,1,ie,0,0,0
geomul,George Mulock,1,1,gb,0,0,0
regske,Reginald Skelton,1,1,gb,0,0,0
regkoe,Reginald Koettlitz,1,1,gb,0,0,0
edwwil,Edward Adrian Wilson,1,1,gb,0,0,0
thohod,Thomas Vere Hodgson,1,1,gb,0,0,0
harfer,Hartley Ferrar,1,1,gb,0,0,0
thofea,Thomas Feather,1,1,gb,0,0,0
jamdel,James Dellbridge,1,1,gb,0,0,0
fredai,Fred Dailey,1,1,gb,0,0,0
chafor,Charles Reginald Ford,1,1,gb,0,0,0
jaccro,Jacob Cross,1,1,gb,0,0,0
edgeva,Edgar Evans,1,1,gb,0,0,0
wilsmy,William Smythe,1,1,gb,0,0,0
davall,David Allan,1,1,gb,0,0,0
thoken,Thomas Kennar,1,1,gb,0,0,0
wilmac,William MacFarlane,1,1,gb,0,0,0
gilsco,Gilbert Scott,1,1,gb,0,0,0
artbli,Arthur Harry Blissett,1,1,gb,0,0,0
wilcla,William Clarke,1,1,gb,0,0,0
clahar,Clarence Hare,1,1,gb,0,0,0
horbuc,Horace Edgar Buckridge,1,1,gb,0,0,0
artpil,Arthur Edward Pilbeam,1,1,gb,0,0,0
wilhea,William Loftouse Heald,1,1,gb,0,0,0
jamdel1,James Dell,1,1,gb,0,0,0
frawil,Frank Wild,1,1,gb,0,0,0
thowil,Thomas Soulsb Williamson,1,1,gb,0,0,0
geocro,George Beaver Croucher,1,1,gb,0,0,0
ernjoy,Ernest Joyce,1,1,gb,0,0,0
thocre,Thomas Crean,1,1,ie,0,0,0
jeshan,Jesse Handsley,1,1,gb,0,0,0
wilwel,William Isaac Weller,1,1,gb,0,0,0
wilpet,William Peters,1,1,gb,0,0,0
johwal,John Dargie Walker,1,1,gb,0,0,0
jamdun,James Duncan,1,1,gb,0,0,0
henbre,Henry B. Brett,1,1,gb,0,0,0
geovin,George Vince,1,1,gb,0,0,0
chabon,Charles Bonner,1,1,gb,0,0,0
willas,William Lashly,1,1,gb,0,0,0
artqua,Arthur Lester Quartley,1,1,gb,0,0,0
thowhi,Thomas Whitfield,1,1,gb,0,0,0
fraplu,Frank Plumley,1,1,gb,0,0,0
wilpag,William Page,1,1,gb,0,0,0
wilhub,William Hubert,1,1,gb,0,0,0
brgov,Britische Regierung,3,0,gb,0,0,0
llelon,Llewellyn W. Longstaff,3,1,gb,0,0,0
rgs,Royal Geographical Society,3,0,gb,0,0,0
alfhar,Alfred Harmsworth,3,1,gb,0,0,0
q,Shackleton-Rowett Expedition,2,0,gb,1921,2,12
frawor,Frank Worsley,1,1,nz,0,0,0
aleker,Alexander Kerr,1,1,gb,0,0,0
jammci,James McIlroy,1,1,gb,0,0,0
alemac,Alexander Macklin,1,1,gb,0,0,0
leohus,Leonard Hussey,1,1,gb,0,0,0
chagre,Charles Green,1,1,gb,0,0,0
thomcl,Thomas McLeod,1,1,gb,0,0,0
rodcar,Roderick Carr,1,1,nz,0,0,0
hubwil,Hubert Wilkins,1,1,au,0,0,0
geodou,George Douglas,1,1,ca,0,0,0
jammar,James Marr,1,1,gb,0,0,0
normoo,Norman Mooney,1,1,gb,0,0,0
doujef,Douglas Jeffrey,1,1,gb,0,0,0
eeeeri,Eriksen,1,1,naa,0,0,0
johbee,John Bee-Mason,1,1,gb,0,0,0
cccsmi,C.E. Smith,1,1,gb,0,0,0
harwat,Harold Watts,1,1,gb,0,0,0
gggross,G.H. Ross,1,1,gb,0,0,0
sssyou,S.S. Young,1,1,naa,0,0,0
hararg,Harold Argles,1,1,naa,0,0,0
chrnai,Christopher Naisbitt,1,1,naa,0,0,0
johrow,John Quiller Rowett,3,1,gb,0,0,0
g,Vierte Französische Antarktisexpedition,2,0,fr,1903,1,18
jeacha,Jean-Baptiste Charcot,1,1,fr,0,0,0
edosim,Édouard-Étienne-Auguste Simon,3,1,fr,0,0,0
bes,Besnard,1,1,fr,0,0,0
echo,E. Chollet,1,1,fr,0,0,0
pday,P. Dayne,1,1,fr,0,0,0
erngou,Ernest Gourdon,1,1,fr,0,0,0
gou,Goudier,1,1,fr,0,0,0
fgue,F. Guegen,1,1,fr,0,0,0
jgue,J. Guegen,1,1,fr,0,0,0
fher,F. Herveou,1,1,fr,0,0,0
jjab,J. Jabet,1,1,fr,0,0,0
lib,Libois,1,1,fr,0,0,0
amat,A. Matha,1,1,fr,0,0,0
robpau,Robert Paumelle,1,1,fr,0,0,0
pauple,Paul Pleneau,1,1,fr,0,0,0
lpos,L. Poste,1,1,fr,0,0,0
rayral,Raymond Rallier du Baty,1,1,fr,0,0,0
jrey,J. Rey,1,1,fr,0,0,0
frol,F. Rolland,1,1,fr,0,0,0
mroz,M. Rozo,1,1,fr,0,0,0
jtur,J. Turquet,1,1,fr,0,0,0
mai,Maignan,1,1,fr,0,0,0
jbon,J. Bonnier,1,1,fr,0,0,0
per,Perez,1,1,fr,0,0,0
k,Amundsens Fram-Expedition,2,0,no,1910,1,24
stor,Storting,3,0,no,0,0,0
normar,Norwegische Marine,3,0,no,0,0,0
norroy,Norwegisches Königspaar,3,0,no,0,0,0
petchr,Peter Christophersen,3,1,no,0,0,0
helhan,Helmer Hanssen,1,1,no,0,0,0
swehas,Swerre Hassel,1,1,no,0,0,0
olabja,Olav Bjaaland,1,1,no,0,0,0
oscwis,Oscar Wisting,1,1,no,0,0,0
kripre,Kristian Prestrud,1,1,no,0,0,0
frejoh,Fredrik Hjalmar Johansen,1,1,no,0,0,0
jorstu,Jørgen Stubberud,1,1,no,0,0,0
adolin,Adolf Lindstrøm,1,1,no,0,0,0
thonil,Thorvald Nilsen,1,1,no,0,0,0
fregje,Frederick Gjertsen,1,1,no,0,0,0
ludhan,Ludvig Hansen,1,1,no,0,0,0
marron,Martin Rønne,1,1,no,0,0,0
andbec,Andreas Beck,1,1,no,0,0,0
knusun,Knut Sundbeck,1,1,no,0,0,0
jacnod,Jacob Nødtvedt,1,1,no,0,0,0
alekut,Alexander Stepanowitsch Kutschin,1,1,ru,0,0,0
karols,Karinius Olsen,1,1,no,0,0,0
halkri,Halvardus Kristensen,1,1,no,0,0,0
h,Nimrod-Expedition,2,0,gb,1907,2,24
wilbea,William Beardmore,3,1,gb,0,0,0
edwgui,"Edward Guinness, 1. Earl of Iveagh",3,1,ie,0,0,0
ausgov,Australische Regierung,3,0,au,0,0,0
neugov,Neuseeländische Regierung,3,0,nz,0,0,0
jamada,Jameson Adams,1,1,gb,0,0,0
erimar,Eric Stewart Marshall,1,1,gb,0,0,0
tandav,Tannatt William Edgeworth David,1,1,gb,0,0,0
doumaw,Douglas Mawson,1,1,gb,0,0,0
alimac,Alistair Mackay,1,1,gb,0,0,0
berarm,Bertram Armytage,1,1,au,0,0,0
phibro,Philip Lee Brocklehurst,1,1,gb,0,0,0
rapri,Raymond Edward Priestley,1,1,gb,0,0,0
geomar,George Edward Marston,1,1,gb,0,0,0
jammur,James Murray,1,1,gb,0,0,0
berday,Bernard Cartmell Day,1,1,gb,0,0,0
wilrob,William Roberts,1,1,gb,0,0,0
rupeng,Rupert England,1,1,gb,0,0,0
freeva,Frederick Pryce Evans,1,1,gb,0,0,0
johdav,John King Davis,1,1,au,0,0,0
aenmac,Aeneas Mackintosh,1,1,gb,0,0,0
arthar,Arthur Edward Harbord,1,1,gb,0,0,0
sydric,Sydney Richardson,1,1,gb,0,0,0
alfche,Alfred Buchanan Cheetham,1,1,gb,0,0,0
hendun,Henry Joseph Long Dunlop,1,1,ie,0,0,0
chrcra,Christian Craft,1,1,gb,0,0,0
davnel,David Nelson,1,1,gb,0,0,0
chahun,Charles Hunt,1,1,gb,0,0,0
hugmcg,Hugh McGowan,1,1,ie,0,0,0
wilmic,William Arthur Rupert Michell,1,1,ca,0,0,0
jhan,J. Hancock,1,1,gb,0,0,0
wilans,William Drummond Ansel,1,1,nz,0,0,0
murmcr,Murdoch M. McRae,1,1,au,0,0,0
johmon,John Thomas Montague,1,1,gb,0,0,0
edwmor,Edward Morrison,1,1,gb,0,0,0
micmcg,Michael Thomas McGillion,1,1,nz,0,0,0
wilmey,William Richard Meyrick,1,1,nz,0,0,0
walbil,Walter George Bilsby,1,1,gb,0,0,0
jampat,James Paton,1,1,gb,0,0,0
freabr,Frederick George Abraham,1,1,gb,0,0,0
vicber,Victor Berry,1,1,gb,0,0,0
johbro,John Brolly,1,1,us,0,0,0
alfbul,Alfred B. Bull,1,1,gb,0,0,0
harbul,Harold Boyer Bull,1,1,au,0,0,0
ernell,Ernest Watson Ellis,1,1,gb,0,0,0
geokem,George Richard Kemp,1,1,gb,0,0,0
johmcm,John McMillan,1,1,gb,0,0,0
ricnod,Richard Henry Nodder,1,1,gb,0,0,0
ernrey,Ernest Reynard,1,1,gb,0,0,0
groo,G. Rooney,1,1,nz,0,0,0
walspi,Walter Spice,1,1,gb,0,0,0
wwil,W. Williams,1,1,au,0,0,0
ddon,D. Donovan,1,1,ie,0,0,0
hhol,H. Holmes,1,1,gb,0,0,0
robmcn,Robert McNeil,1,1,gb,0,0,0
johpar,John Stuart Partridge,1,1,nz,0,0,0
sidric,Sidney Barnes Riches,1,1,gb,0,0,0
felroo,Felix Rooney,1,1,gb,0,0,0
asch,A. Schofield,1,1,gb,0,0,0
mvau,M. Vaughan,1,1,nz,0,0,0
geobuc,George Alexander McLean Buckley,1,1,nz,0,0,0
leocot,Leo Arthur Cotton,1,1,au,0,0,0
alfrei,Alfred Reid,1,1,gb,0,0,0
herdor,Herbert Dorman,1,1,gb,0,0,0
joskin,Joseph James Kinsey,1,1,nz,0,0,0
n,Aurora Expedition,2,0,au,1911,1,26
brispe,Britische Spenden,3,0,gb,0,0,0
ausbure,Australische Bundesregierung,3,0,au,0,0,0
ausbusta,Australische Bundesstaatenregierungen,3,0,au,0,0,0
prispem,Private Spenden Zweite Deutsche Antarktisexpedition,3,0,naa,0,0,0
edwbag,Edward Frederick Robert Bage,1,1,au,0,0,0
franbic,Francis Howard Bickerton,1,1,gb,0,0,0
johclo,John Henry Collinson Close,1,1,gb,0,0,0
percor,Percy Correll,1,1,au,0,0,0
walhan,Walter Henry Hannam,1,1,au,0,0,0
alfhod,Alfred Hodgeman,1,1,au,0,0,0
johhun,John George Hunter,1,1,au,0,0,0
jamhur,James Francis Hurley,1,1,au,0,0,0
sidjef,Sidney Jeffryes,1,1,au,0,0,0
chalas,Charles Francis Laseron,1,1,us,0,0,0
cecmad,Cecil Thomas Madigan,1,1,au,0,0,0
arcmcl,Archibald Lang McLean,1,1,au,0,0,0
xavmer,Xavier Guillaume Mertz,1,1,ch,0,0,0
hermur,Herbert Dyce Murphy,1,1,au,0,0,0
belnin,Belgrave Edward Sutton Ninnis,1,1,gb,0,0,0
frasti,Frank Leslie Stillwell,1,1,au,0,0,0
eriweb,Eric Webb,1,1,nz,0,0,0
leswhe,Leslie Hatton Whetter,1,1,nz,0,0,0
chadov,Charles Dovers,1,1,au,0,0,0
chahar,Charles Harrisson,1,1,au,0,0,0
chahoa,Charles Archibald Brookes Hoadley,1,1,au,0,0,0
sydjon,Sydney Evan Jones,1,1,au,0,0,0
aleken,Alexander Lorimer Kennedy,1,1,au,0,0,0
mormoy,Morton Henry Moyes,1,1,au,0,0,0
andwat,Andrew Douglas Watson,1,1,au,0,0,0
geoain,George Ainsworth,1,1,au,0,0,0
lesbla,Leslie Blake,1,1,au,0,0,0
harham,Harold Hamilton,1,1,nz,0,0,0
chasan,Charles Sandell,1,1,gb,0,0,0
artsaw,Arthur Sawyer,1,1,nz,0,0,0
johbla,John Hamilton Blair,1,1,gb,0,0,0
frefle,Frederick Douglas Fletcher,1,1,au,0,0,0
fregil,Frederick Jacob Gillies,1,1,gb,0,0,0
pergra,Percival Gray,1,1,au,0,0,0
clamot,Clarence Petersen de la Motte,1,1,au,0,0,0
nortou,Norman Champion Toutcher,1,1,au,0,0,0
jamdav,James Davis,1,1,gb,0,0,0
ceit,C.C. Eitel,1,1,au,0,0,0
tfly,T.T. Flynn,1,1,au,0,0,0
ewait,E.R. Waite,1,1,au,0,0,0
jwat,J. van Waterschoot,1,1,nl,0,0,0
m,Zweite Deutsche Antarktisexpedition,2,0,de,1911,2,19
wilfil,Wilhelm Filchner,1,1,de,0,0,0
eriprz,Erich Przybyllok,1,1,de,0,0,0
eribar,Erich Barkow,1,1,de,0,0,0
wilbre,Wilhelm Brennecke,1,1,de,0,0,0
frihei,Fritz Heim,1,1,de,0,0,0
felkon,Felix König,1,1,at,0,0,0
ricvah,Richard Vahsel,1,1,de,0,0,0
